index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
331,,,,,,Dandridge,Williams,,petitioner,October Term 1969,131,,1969-073,397 U.S. 471,69,,,Potter Stewart,5,3,1969-12-09,1970-04-06,Civil Rights,,"Aid to Families with Dependent Children provisions of the Social Security Act, plus amendments","poverty law, constitutional",,,,,"https://lonedissent.org/briefs/featured/dandridge-v-williams",,,,"https://www.oyez.org/cases/1969/131","https://en.wikipedia.org/wiki/Dandridge_v._Williams",,,"Warren Burger,Hugo Black,John Harlan (II),Potter Stewart,Byron White","92,76,89,93,97","William Douglas,William Brennan,Thurgood Marshall",
332,N,,,,,Williams,Florida,,respondent,October Term 1969,927,,1969-121,399 U.S. 78,69,,,Byron White,6,2,1970-03-04,1970-06-22,Criminal Procedure,,5th Amendment (self-incrimination),self-incrimination (other than as pertains to Miranda or immunity from prosecution),,,,,,,,,"https://www.oyez.org/cases/1969/927",,,,"Warren Burger,John Harlan (II),William Brennan,Potter Stewart,Byron White,Thurgood Marshall",,"Hugo Black,William Douglas",Harry Blackmun
333,,,,,,Oregon,Mitchell,,petitioner,October Term 1970,"43 ORIG,44 ORIG",,1970-014,400 U.S. 112,69,,,Hugo Black,5,4,1970-10-19,1970-12-21,Civil Rights,,14th Amendment (equal protection),voting,,,,,"https://lonedissent.org/briefs/featured/oregon-v-mitchell",,"https://www.supremecourt.gov/pdfs/transcripts/1970/43_Orig_44_Orig_10-19-1970.pdf",,"https://www.oyez.org/cases/1970/43-orig","https://en.wikipedia.org/wiki/Oregon_v._Mitchell",,,"Hugo Black,William Douglas,William Brennan,Byron White,Thurgood Marshall","76,79,90,93,96","Warren Burger,John Harlan (II),Potter Stewart,Harry Blackmun",
334,N,,,,,Wyman,James,,petitioner,October Term 1970,69,,1970-017,400 U.S. 309,69,,,Harry Blackmun,6,3,1970-10-20,1971-01-12,Criminal Procedure,,4th Amendment,search and seizure (other than as pertains to vehicles or Crime Control Act),,,,,,,,,"https://www.oyez.org/cases/1970/69",,,,"Warren Burger,Hugo Black,John Harlan (II),Potter Stewart,Byron White,Harry Blackmun",,"William Douglas,William Brennan,Thurgood Marshall",
335,N,,,,,United States,"District Court, County of Eagle",,respondent,October Term 1970,87,,1970-065,401 U.S. 520,72,,,William Douglas,9,0,1971-03-02,1971-03-24,Economic Activity,,Infrequently litigated statutes,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",,,,,,,,,"https://www.oyez.org/cases/1970/87",,,,"Warren Burger,Hugo Black,William Douglas,John Harlan (II),William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun",,,
336,043,43,6,4,,United States,White,,petitioner,October Term 1970,13,,1970-076,401 U.S. 745,,148,,Byron White,5,4,"1969-11-10,1970-10-20",1971-04-05,Criminal Procedure,Warrentless Recording of Private Conversations,4th Amendment,search and seizure (other than as pertains to vehicles or Crime Control Act),,,"""If the law gives no protection to the wrongdoer whose trusted accomplice is or becomes a police agent, neither should it protect him when that same agent has recorded or transmitted the conversations….""",Justice Byron White,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1969/13/19691110a_13.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1969/13/19701020r_13.delivery.mp3",,,"https://www.oyez.org/cases/1970/13","https://en.wikipedia.org/wiki/United_States_v._White",,,"Warren Burger,Hugo Black,Potter Stewart,Byron White,Harry Blackmun","93,76,92,97,98","William Douglas,John Harlan (II),William Brennan,Thurgood Marshall",
337,,,,,,Swann,Charlotte-Mecklenburg Board of Education,,respondent,October Term 1970,281,,1970-082,402 U.S. 1,70,,,Warren Burger,9,0,1970-10-12,1971-04-20,Civil Rights,,,"desegregation, schools",,,,,"https://lonedissent.org/briefs/featured/swann-v-charlotte-mecklenburg-bd-of-ed",,,,"https://www.oyez.org/cases/1970/281","https://en.wikipedia.org/wiki/Swann_v._Charlotte-Mecklenburg_Board_of_Education",,,"Warren Burger,Hugo Black,William Douglas,John Harlan (II),William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun","97,76,79,89,90,92,93,96,98",,
338,097,,6,1S,,Cohen,California,,petitioner,October Term 1970,299,,1970-121,403 U.S. 15,70,,,John Harlan (II),5,4,1971-02-22,1971-06-07,First Amendment,Public Display of Expletives,"1st Amendment (speech, press, and assembly)","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on 1st Amendment guarantees",,,"""[W]hile the particular four-letter word being litigated here is perhaps more distasteful than most others of its genre, it is nevertheless often true that one man's vulgarity is another's lyric.""",Justice John Harlan (II),,,,,"https://www.oyez.org/cases/1970/299","https://en.wikipedia.org/wiki/Cohen_v._California",,,"William Douglas,John Harlan (II),William Brennan,Potter Stewart,Thurgood Marshall","89,79,90,92,96","Warren Burger,Hugo Black,Byron White,Harry Blackmun",
339,,,,,,Graham,Richardson,,respondent,October Term 1970,609,,1970-134,403 U.S. 365,,,,Harry Blackmun,9,0,1971-03-22,1971-06-14,Civil Rights,,14th Amendment (equal protection),"immigration and naturalization: welfare benefits",,,,,"https://lonedissent.org/briefs/featured/graham-v-richardson",,,,"https://www.oyez.org/cases/1970/609","https://en.wikipedia.org/wiki/Graham_v._Richardson",,,"Warren Burger,Hugo Black,William Douglas,John Harlan (II),William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun","98,76,79,89,90,92,93,96,97",,
340,032,83,6,4,,Bivens,Six Unknown Named Agents,,petitioner,October Term 1970,301,,1970-138,403 U.S. 388,,,,William Brennan,6,3,1971-01-12,1971-06-21,Criminal Procedure,Right to Sue for Constitutional Violations,4th Amendment,search and seizure (other than as pertains to vehicles or Crime Control Act),,,"""Having concluded that petitioner's complaint states a cause of action under the Fourth Amendment, …petitioner is entitled to recover money damages for any injuries he has suffered as a result of the agents' violation….""",Justice William Brennan,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1970/301/19710112a_301.delivery.mp3",,,"https://www.oyez.org/cases/1970/301","https://en.wikipedia.org/wiki/Bivens_v._Six_Unknown_Named_Agents",,,"William Douglas,John Harlan (II),William Brennan,Potter Stewart,Byron White,Thurgood Marshall","90,79,89,92,93,96","Warren Burger,Hugo Black,Harry Blackmun",
341,011,11,"5,8",1E,,Lemon,Kurtzman,,petitioner,October Term 1970,"89,569,570",,1970-141,403 U.S. 602,,158,35,Warren Burger,8,0,1971-03-03,1971-06-28,First Amendment,State Funding\\of Religious Schools,1st Amendment (establishment of religion),"parochiaid: government aid to religious schools, or religious requirements in public schools",,,"""Under our system the choice has been made that government is to be entirely excluded from the area of religious instruction and churches excluded from the affairs of government.""",Chief Justice Warren Burger,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1970/89/19710303a_89.delivery.mp3",,,"https://www.oyez.org/cases/1970/89","https://en.wikipedia.org/wiki/Lemon_v._Kurtzman",,,"Warren Burger,Hugo Black,William Douglas,John Harlan (II),William Brennan,Potter Stewart,Byron White,Harry Blackmun","97,76,79,89,90,92,93,98",,Thurgood Marshall
342,086,32,4,1P,,New York Times,United States,,petitioner,October Term 1970,"1873,1885",,1970-145,403 U.S. 713,71,217,36,,6,3,1971-06-26,1971-06-30,First Amendment,Publication of Classified Information,1st Amendment (freedom of the press),"1st Amendment, miscellaneous (cf. comity: First Amendment)",,,"""Only a free and unrestrained press can effectively expose deception in government.""",Justice Hugo Black,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1970/1873/19710626a_1873.delivery.mp3",,,"https://www.oyez.org/cases/1970/1873","https://en.wikipedia.org/wiki/New_York_Times_Co._v._United_States",,"http://landmarkcases.c-span.org/Case/25/New-York-Times-v-United-States","Hugo Black,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall","76,79,90,92,93,96","Warren Burger,John Harlan (II),Harry Blackmun",
343,052,52,6,,,Committee for\\Nuclear Responsibility,Schlesinger,,respondent,October Term 1971,A-483,,,404 U.S. 917,,,,,4,3,1971-11-06,1971-11-06,,Injunction to Halt\\a Nuclear Test Detonation,,,,,"""We plainly do not have time to resolve this question between now and the scheduled detonation. Accordingly, I would grant the injunction so that a full Court can consider the case on the merits.""",Justice William Douglas (dissenting),,"https://r1.judicious.games/courts/ussc/cases/1971/committee_for_nuclear_responsibility_v_schlesinger/A-483_1971-11-06.mp3",,"https://r1.judicious.games/courts/ussc/cases/1971/committee_for_nuclear_responsibility_v_schlesinger/404us917.pdf",,,,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun","92,93,97,98","William Douglas,William Brennan,Thurgood Marshall",
344,,,,14S1C4,,Reed,Reed,,petitioner,October Term 1971,70-4,,1971-014,404 U.S. 71,,,,Warren Burger,7,0,1971-10-19,1971-11-22,Civil Rights,Sex Discrimination of Women,14th Amendment (equal protection),sex discrimination (excluding sex discrimination in employment),,,"""By providing dissimilar treatment for men and women who are thus similarly situated, the challenged section violates the Equal Protection Clause.""",Chief Justice Warren Burger,"https://lonedissent.org/briefs/featured/reed-v-reed",,,,"https://www.oyez.org/cases/1971/70-4","https://en.wikipedia.org/wiki/Reed_v._Reed",,,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun","97,79,90,92,93,96,98",,
345,,,,,,Dunn,Blumstein,,respondent,October Term 1971,70-13,,1971-075,405 U.S. 330,71,,,Thurgood Marshall,6,1,1971-11-16,1972-03-21,Civil Rights,,14th Amendment (equal protection),"residency requirements: durational, plus discrimination against nonresidents",,,,,,,,,"https://www.oyez.org/cases/1971/70-13",,,,"William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun","96,79,90,92,93,98",Warren Burger,"Lewis Powell,William Rehnquist"
346,,,,,,Wisconsin,Yoder,,respondent,October Term 1971,70-110,,1971-102,406 U.S. 205,71,,,Warren Burger,7,0,1971-12-08,1972-05-15,First Amendment,,1st Amendment (free exercise of religion),free exercise of religion,,,,,,,,,"https://www.oyez.org/cases/1971/70-110","https://en.wikipedia.org/wiki/Wisconsin_v._Yoder",,,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun","97,79,90,92,93,96,98",,"Lewis Powell,William Rehnquist"
347,N,,,,,Apodaca,Oregon,,respondent,October Term 1971,69-5046,,1971-111,406 U.S. 404,71,,,Byron White,5,4,"1971-03-01,1972-01-10",1972-05-22,Criminal Procedure,,6th Amendment (right to trial by jury),"jury trial (right to, as distinct from extra-legal jury influences)",,,,,,,,,"https://www.oyez.org/cases/1971/69-5046",,,,"Warren Burger,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Douglas,William Brennan,Potter Stewart,Thurgood Marshall",
348,,,,,,Moose Lodge No. 107,Irvis,,petitioner,October Term 1971,70-75,,1971-139,407 U.S. 163,72,,,William Rehnquist,6,3,1972-02-28,1972-06-12,Civil Rights,,14th Amendment (equal protection),"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",,,,,"https://lonedissent.org/briefs/featured/moose-lodge-no-107-v-irvis",,"https://www.supremecourt.gov/pdfs/transcripts/1971/70-75_02-28-1972_A.pdf",,"https://www.oyez.org/cases/1971/70-75",,,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist","100,92,93,97,98,99","William Douglas,William Brennan,Thurgood Marshall",
349,,88,,AT,,Flood,Kuhn,,respondent,October Term 1971,71-32,,1971-146,407 U.S. 258,,,,Harry Blackmun,5,3,1972-03-20,1972-06-19,Economic Activity,Major League Baseball Antitrust Exemption,,antitrust (except in the context of mergers and union antitrust),,,"""The Court, accordingly, has concluded that Congress as yet has had no intention to subject baseball's reserve system to the reach of the antitrust statutes.""",Justice Harry Blackmun,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1971/71-32/19720320a_71-32.delivery.mp3",,,"https://www.oyez.org/cases/1971/71-32","https://en.wikipedia.org/wiki/Flood_v._Kuhn",,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,William Rehnquist","98,92,93,97,100","William Douglas,William Brennan,Thurgood Marshall",Lewis Powell
350,N,,,,,Laird,Tatum,,petitioner,October Term 1971,71-288,,1971-159,408 U.S. 1,73,,,Warren Burger,5,4,1972-03-27,1972-06-26,First Amendment,,,"1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,,,,,"https://www.oyez.org/cases/1971/71-288",,,,"Warren Burger,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Douglas,William Brennan,Potter Stewart,Thurgood Marshall",
351,,,,,,Furman,Georgia,,petitioner,October Term 1971,69-5003,,1971-170,408 U.S. 238,73,,37,,5,4,1972-01-17,1972-06-29,Criminal Procedure,,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,,,,,,,"https://www.oyez.org/cases/1971/69-5030",,,,"William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall","79,90,92,93,96","Warren Burger,Harry Blackmun,Lewis Powell,William Rehnquist",
352,,,,,,Board of Regents,Roth,,petitioner,October Term 1971,71-162,,1971-173,408 U.S. 564,,,,Potter Stewart,5,3,1972-01-18,1972-06-29,Due Process,,14th Amendment (due process),"due process: hearing, government employees",,,,,"https://lonedissent.org/briefs/featured/board-of-regents-v-roth",,,,"https://www.oyez.org/cases/1971/71-162","https://en.wikipedia.org/wiki/Board_of_Regents_of_State_Colleges_v._Roth",,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,William Rehnquist","92,93,97,98,100","William Douglas,William Brennan,Thurgood Marshall",Lewis Powell
353,N,,,,,Gravel,United States,,petitioner,October Term 1971,"71-1017,71-1026",,1971-175,408 U.S. 606,74,,,Byron White,5,4,"1972-04-19,1972-04-20",1972-06-29,First Amendment,,"Article I, Section 6, Paragraph 1 (speech or debate clause)","1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,,,,,"https://www.oyez.org/cases/1971/71-1017",,,,"Warren Burger,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Douglas,William Brennan,Potter Stewart,Thurgood Marshall",
354,,95,,1P,,Branzburg,Hayes,,respondent,October Term 1971,70-85,,1971-176,408 U.S. 665,74,31,,Byron White,5,4,1972-02-23,1972-06-29,First Amendment,Grand Jury Testimony of Newspaper Reporters,1st Amendment,"1st Amendment, miscellaneous (cf. comity: First Amendment)",,,"""We see no reason to hold that these reporters, any more than other citizens, should be excused from furnishing information that may help the grand jury….""",Justice Byron White,"https://briefs3.lonedissent.org/1971/branzburg-v-hayes","https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1971/70-85/19720223a_70-85.delivery.mp3",,,"https://www.oyez.org/cases/1971/70-85","https://en.wikipedia.org/wiki/Branzburg_v._Hayes",,,"Warren Burger,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist","93,97,98,99,100","William Douglas,William Brennan,Potter Stewart,Thurgood Marshall",
355,N,,,,,O'Brien,Brown,,petitioner,October Term 1972,"72-34,A-23",,1972-002,409 U.S. 1,74,,,,6,3,,1972-07-07,Judicial Power,,,"judicial administration: extraordinary relief (e.g., mandamus, injunction)",,,,,,,,,"https://www.oyez.org/cases/1971/72-34",,,,"Warren Burger,William Brennan,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Douglas,Byron White,Thurgood Marshall",
356,021,72,5,14S1C3,,Roe,Wade,,petitioner,October Term 1972,70-18,,1972-048,410 U.S. 113,75,262,38,Harry Blackmun,7,2,"1971-12-13,1972-10-11",1973-01-22,Privacy,Abortion,14th Amendment (due process),"abortion: including contraceptives",,,"""[W]e do not agree that, by adopting one theory of life, Texas may override the rights of the pregnant woman that are at stake.""",Justice Harry Blackmun,"https://briefs3.lonedissent.org/1971/roe-v-wade","https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1971/70-18/19711213a_70-18.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1971/70-18/19721011r_70-18.delivery.mp3",,,"https://www.oyez.org/cases/1971/70-18","https://en.wikipedia.org/wiki/Roe_v._Wade","https://conlaw.us/case/roe-v-wade-1973/","http://landmarkcases.c-span.org/Case/12/Roe-V-Wade","Warren Burger,William Douglas,William Brennan,Potter Stewart,Thurgood Marshall,Harry Blackmun,Lewis Powell","98,79,90,92,96,97,99","Byron White,William Rehnquist",
357,N,,,,,Mahan,Howell,,petitioner,October Term 1972,"71-364,71-373",,1972-054,410 U.S. 315,75,,,William Rehnquist,5,3,1972-12-12,1973-02-21,Civil Rights,,14th Amendment (equal protection),"reapportionment: other than plans governed by the Voting Rights Act",,,,,,,,,"https://www.oyez.org/cases/1972/71-364",,,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,William Rehnquist",,"William Douglas,William Brennan,Thurgood Marshall",Lewis Powell
358,,,,,,San Antonio Independent School District,Rodriguez,,petitioner,October Term 1972,71-1332,,1972-083,411 U.S. 1,70,,,Lewis Powell,5,4,1972-10-12,1973-03-21,Civil Rights,,14th Amendment (equal protection),"poverty law, constitutional",,,,,"https://lonedissent.org/briefs/featured/san-antonio-independent-school-dis-v-rodriguez",,,,"https://www.oyez.org/cases/1972/71-1332","https://en.wikipedia.org/wiki/San_Antonio_Independent_School_District_v._Rodriguez",,,"Warren Burger,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist","99,92,97,98,100","William Douglas,William Brennan,Byron White,Thurgood Marshall",
359,015,66,"5,6",14S1C4,,Frontiero,Richardson,,petitioner,October Term 1972,71-1694,,1972-113,411 U.S. 677,76,95,39,William Brennan,8,1,1973-01-17,1973-05-14,Civil Rights,Sex Discrimination of Women,5th Amendment (equal protection),sex discrimination (excluding sex discrimination in employment),,,"""[T]he Government concedes that the differential treatment accorded men and women under these statutes serves no purpose other than mere 'administrative convenience.'""",Justice William Brennan,"https://briefs3.lonedissent.org/1972/frontiero-v-richardson","https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1972/71-1694/19730117a_71-1694.delivery.mp3",,,"https://www.oyez.org/cases/1972/71-1694","https://en.wikipedia.org/wiki/Frontiero_v._Richardson","https://conlaw.us/case/frontiero-v-richardson-1973/",,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell","90,79,92,93,96,97,98,99",William Rehnquist,
360,,,,,,Miller,California,,petitioner,October Term 1972,70-73,,1972-158,413 U.S. 15,78,,,Warren Burger,5,4,"1972-01-18,1972-01-19,1972-11-07",1973-06-21,First Amendment,Obscenity,1st Amendment,"obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment",,,,,"https://lonedissent.org/briefs/featured/miller-v-california",,,,"https://www.oyez.org/cases/1971/70-73","https://en.wikipedia.org/wiki/Miller_v._California",,,"Warren Burger,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist","97,93,98,99,100","William Douglas,William Brennan,Potter Stewart,Thurgood Marshall",
361,044,44,7,1S,,United States,12 200-ft. Reels of Film,,petitioner,October Term 1972,70-2,,1972-161,413 U.S. 123,,,,Warren Burger,5,4,"1972-01-19,1972-11-07",1973-06-21,First Amendment,Importing Obscene Materials ,"1st Amendment (speech, press, and assembly)","obscenity, federal",,,"""We are not disposed to…permit importation of admittedly obscene material simply because it is imported for private use only.""",Chief Justice Warren Burger,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1971/70-2/19720119a_70-2.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1971/70-2/19721107r_70-2.delivery.mp3",,,"https://www.oyez.org/cases/1971/70-2","https://en.wikipedia.org/wiki/United_States_v._12_200-ft._Reels_of_Film",,,"Warren Burger,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist","97,93,98,99,100","William Douglas,William Brennan,Potter Stewart,Thurgood Marshall",
362,N,,,,,Keyes,"School Dist. No. 1, Denver",,petitioner,October Term 1972,71-507,,1972-164,413 U.S. 189,77,,,William Brennan,7,1,1972-10-12,1973-06-21,Civil Rights,,14th Amendment (equal protection),"desegregation, schools",,,,,,,,,"https://www.oyez.org/cases/1972/71-507",,,,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Thurgood Marshall,Harry Blackmun,Lewis Powell",,William Rehnquist,Byron White
363,N,,,,,Sloan,Lemon,,respondent,October Term 1972,"72-459,72-620",,1972-183,413 U.S. 825,77,,,Lewis Powell,6,3,1973-04-16,1973-06-25,First Amendment,,1st Amendment (establishment of religion),"parochiaid: government aid to religious schools, or religious requirements in public schools",,,,,,,,,"https://www.oyez.org/cases/1972/72-459",,,,"William Douglas,William Brennan,Potter Stewart,Thurgood Marshall,Harry Blackmun,Lewis Powell",,"Warren Burger,Byron White,William Rehnquist",
364,N,,,,,United States,Robinson,,petitioner,October Term 1973,72-936,,1973-024,414 U.S. 218,79,,,William Rehnquist,6,3,1973-10-09,1973-12-11,Criminal Procedure,,4th Amendment,"search and seizure, vehicles",,,,,,,,,"https://www.oyez.org/cases/1973/72-936",,,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist",,"William Douglas,William Brennan,Thurgood Marshall",
365,,,,,,DeFunis,Odegaard,,petitioner,October Term 1973,73-235,,1973-092,416 U.S. 312,80,,,,5,4,1974-02-26,1974-04-23,Civil Rights,,"Article III, Section 2, Paragraph 1 (case or controversy requirement)",affirmative action,,,,,"https://lonedissent.org/briefs/featured/defunis-v-odegaard",,,,"https://www.oyez.org/cases/1973/73-235","https://en.wikipedia.org/wiki/DeFunis_v._Odegaard",,,"Warren Burger,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist","92,97,98,99,100","William Douglas,William Brennan,Byron White,Thurgood Marshall",
366,033,84,7,14S2,,Richardson,Ramirez,,petitioner,October Term 1973,72-1589,,1973-154,418 U.S. 24,,,,William Rehnquist,6,3,1974-01-15,1974-06-24,Civil Rights,State Laws Barring Felons From Voting,14th Amendment (reduction in representation clause),voting,,,"""[T]he exclusion of felons from the vote has an affirmative sanction in § 2 of the Fourteenth Amendment, a sanction which was not present in the case of the other restrictions on the franchise….""",Justice William Rehnquist,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1973/72-1589/19740624o_72-1589.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1973/72-1589/19740115a_72-1589.delivery.mp3",,,"https://www.oyez.org/cases/1973/72-1589","https://en.wikipedia.org/wiki/Richardson_v._Ramirez",,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist","100,92,93,97,98,99","William Douglas,William Brennan,Thurgood Marshall",
367,N,,,,,Miami Herald Publishing Co.,Tornillo,,petitioner,October Term 1973,73-797,,1973-159,418 U.S. 241,78,,,Warren Burger,9,0,1974-04-17,1974-06-25,First Amendment,,"1st Amendment (speech, press, and assembly)","1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,,,,,"https://www.oyez.org/cases/1973/73-797",,,,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell,William Rehnquist",,,
368,065,63,"6,7",A2S2,,United States,Nixon,,petitioner,October Term 1973,"73-1766,73-1834",,1973-172,418 U.S. 683,79,218,40,Warren Burger,8,0,1974-07-08,1974-07-24,Criminal Procedure,Presidential Executive Privilege,,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",,,"""The President's broad interest in confidentiality of communications will not be vitiated by disclosure of a limited number of conversations preliminarily shown to have some bearing on the pending criminal cases.""",Chief Justice Warren Burger,"https://lonedissent.org/briefs/featured/united-states-v-nixon","https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1973/73-1766/19740724o_73-1766.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1973/73-1766/19740708a_73-1766.delivery.mp3",,,"https://www.oyez.org/cases/1973/73-1766","https://en.wikipedia.org/wiki/United_States_v._Nixon",,,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell","97,79,90,92,93,96,98,99",,William Rehnquist
369,,,,,,Milliken,Bradley,,petitioner,October Term 1973,"73-434,73-435,73-436",,1973-173,418 U.S. 717,80,,,Warren Burger,5,4,1974-02-27,1974-07-25,Civil Rights,,14th Amendment (equal protection),"desegregation, schools",,,,,,,,,"https://www.oyez.org/cases/1973/73-434",,,,"Warren Burger,Potter Stewart,Harry Blackmun,Lewis Powell,William Rehnquist","97,92,98,99,100","William Douglas,William Brennan,Byron White,Thurgood Marshall",
370,,,,,,Jackson,Metropolitan Edison Co.,,respondent,October Term 1974,73-5845,,1974-016,419 U.S. 345,,,,William Rehnquist,6,3,1974-10-15,1974-12-23,Due Process,,14th Amendment (due process),"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)",,,,,"https://lonedissent.org/briefs/featured/jackson-v-metropolitan-edison-co",,,,"https://www.oyez.org/cases/1974/73-5845","https://en.wikipedia.org/wiki/Jackson_v._Metropolitan_Edison_Co.",,,"Warren Burger,Potter Stewart,Byron White,Harry Blackmun,Lewis Powell,William Rehnquist","100,92,93,97,98,99","William Douglas,William Brennan,Thurgood Marshall",
371,N,,,,,Cousins,Wigoda,,petitioner,October Term 1974,73-1106,,1974-023,419 U.S. 477,81,,,William Brennan,8,1,1974-11-11,1975-01-15,Federalism,,,miscellaneous federalism,,,,,,,,,"https://www.oyez.org/cases/1974/73-1106",,,,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,William Rehnquist",,Lewis Powell,
372,069,15,"6,7",6T,,Taylor,Louisiana,,petitioner,October Term 1974,73-5744,,1974-025,419 U.S. 522,,301,,Byron White,8,1,1974-10-16,1975-01-21,Civil Rights,Exclusion of Women from Juries,6th Amendment (right to trial by jury),sex discrimination (excluding sex discrimination in employment),,,"""[W]e think it is no longer tenable to hold that women as a class may be excluded or given automatic exemptions based solely on sex if the consequence is that criminal jury venires are almost totally male.""",Justice Byron White,"https://lonedissent.org/briefs/featured/taylor-v-louisiana","https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1974/73-5744/19750121o_73-5744.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1974/73-5744/19741016a_73-5744.delivery.mp3",,,"https://www.oyez.org/cases/1974/73-5744","https://en.wikipedia.org/wiki/Taylor_v._Louisiana",,,"Warren Burger,William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall,Harry Blackmun,Lewis Powell","93,79,90,92,96,97,98,99",William Rehnquist,
373,,,,,,Goss,Lopez,,respondent,October Term 1974,73-898,,1974-028,419 U.S. 565,81,,,Byron White,5,4,1974-10-16,1975-01-22,Due Process,,14th Amendment (due process),"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)",,,,,"https://lonedissent.org/briefs/featured/goss-v-lopez",,,,"https://www.oyez.org/cases/1974/73-898","https://en.wikipedia.org/wiki/Goss_v._Lopez",,,"William Douglas,William Brennan,Potter Stewart,Byron White,Thurgood Marshall","93,79,90,92,96","Warren Burger,Harry Blackmun,Lewis Powell,William Rehnquist",
