index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
152,,,,,,Norman,Baltimore & Ohio R. Co.,The Gold Clause Cases,respondent,October Term 1934,270,"Consolidated with United States v. Bankers Trust Co. (Nos. 471 and 472), Nortz v. United States (No. 531), and Perry v. United States (No. 532)",1934-079,"294 U.S. 240,294 U.S. 317,294 U.S. 330",29,,,Charles Hughes,5,4,"1935-01-08,1935-01-09,1935-01-10",1935-02-18,Economic Activity,,"Article I, Section 8, Paragraph 18 (necessary and proper clause)",miscellaneous economic regulation,,,,,,,,,,,,,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Benjamin Cardozo","62,67,73,74,75","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
153,,,,,,Perry,United States,,,October Term 1934,532,,1934-080,294 U.S. 330,,,,Charles Hughes,5,4,1935-01-10,1935-02-18,Economic Activity,,"Article I, Section 10, Paragraph 1 (contract clause)","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",,,,,"https://lonedissent.org/briefs/featured/perry-v-united-states",,,,"https://www.oyez.org/cases/1900-1940/294us330","https://en.wikipedia.org/wiki/Gold_Clause_Cases",,,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Benjamin Cardozo","62,67,73,74,75","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
154,,,,,,Baldwin,"G.A.F. Seeling, Inc.",,respondent,October Term 1934,604,,1934-160,294 U.S. 511,,,,Benjamin Cardozo,9,0,1935-02-11,1935-03-04,Economic Activity,,State or Local Law Regulation,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,"https://lonedissent.org/briefs/featured/baldwin-v-g-a-f-seelig-inc",,,,"https://www.oyez.org/cases/1900-1940/294us511",,,,"Charles Hughes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Harlan Stone,Owen Roberts,Benjamin Cardozo","75,62,63,66,67,70,71,73,74",,
155,,,,,,Schechter Poultry,United States,,petitioner,October Term 1934,854,,1934-052,295 U.S. 495,28,,,Charles Hughes,9,0,"1935-05-02,1935-05-03",1935-05-27,Economic Activity,National Industrial Recovery Act of 1933,"Article I § 8: Commerce Clause and Separation of Powers","federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",,,,,"https://lonedissent.org/briefs/featured/schechter-poultry-corp-v-united-states",,"https://lonedissent.org/transcripts/pre-1955/a-l-a-schechter-poultry-corp-v-united-states",,"https://www.oyez.org/cases/1900-1940/295us495","https://en.wikipedia.org/wiki/A.L.A._Schechter_Poultry_Corp._v._United_States","https://conlaw.us/case/schechter-poultry-corp-v-united-states-1935/",,"Charles Hughes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Harlan Stone,Owen Roberts,Benjamin Cardozo","62,63,66,67,70,71,73,74,75",,
156,,,,,,Humphrey's Executor,United States,,,October Term 1934,667,,1934-053,295 U.S. 602,30,,,George Sutherland,9,0,1935-05-01,1935-05-27,Miscellaneous,,No Legal Provision,executive authority vis-a-vis congress or the states,,,,,"https://lonedissent.org/briefs/featured/humphreys-executor-v-united-states",,,,"https://www.oyez.org/cases/1900-1940/295us602","https://en.wikipedia.org/wiki/Humphrey%27s_Executor_v._United_States",,,"Charles Hughes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Harlan Stone,Owen Roberts,Benjamin Cardozo","70,62,63,66,67,71,73,74,75",,
157,029,80,5,A1S8C1,,United States,Butler,,respondent,October Term 1935,401,,1935-132,297 U.S. 1,30,43,,Owen Roberts,6,3,"1935-12-09,1935-12-10",1936-01-06,Federal Taxation,Agricultural Adjustment Act of 1933,"Article I § 8: Spending Power","federal taxation of gifts, personal, business, or professional expenses",,,"""The power to confer or withhold unlimited benefits is the power to coerce or destroy.""",Justice Owen Roberts,"https://briefs1.lonedissent.org/1935/united-states-v-butler",,,,"https://www.oyez.org/cases/1900-1940/297us1","https://en.wikipedia.org/wiki/United_States_v._Butler",,,"Charles Hughes,Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler,Owen Roberts","74,62,63,66,70,71","Louis Brandeis,Harlan Stone,Benjamin Cardozo",
158,N,,,,,Brown,Mississippi,,respondent,October Term 1935,301,,1935-089,297 U.S. 278,31,,,Charles Hughes,9,0,1936-01-10,1936-02-17,Criminal Procedure,,14th Amendment (due process),involuntary confession,,,,,,,,,,,,,"Charles Hughes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Harlan Stone,Owen Roberts,Benjamin Cardozo",,,
159,N,,,,,Ashwander,TVA,,respondent,October Term 1935,403,,1935-133,297 U.S. 288,31,,,Charles Hughes,8,1,1935-12-19,1936-02-17,Federal Taxation,,"Article IV, Section 3, Paragraph 2 (property clause)","federal taxation, typically under provisions of the Internal Revenue Code",,,,,,,,,,,,,"Charles Hughes,Willis Van Devanter,Louis Brandeis,George Sutherland,Pierce Butler,Harlan Stone,Owen Roberts,Benjamin Cardozo",,James McReynolds,
160,,,,,,Carter,Carter Coal Co.,,petitioner,October Term 1935,636,,1935-136,298 U.S. 238,32,,,George Sutherland,6,3,1936-03-11,1936-05-18,Unions,,"Article I, Section 8, Paragraph 3 (interstate commerce clause)","labor-management disputes: bargaining",,,,,"https://lonedissent.org/briefs/featured/carter-v-carter-coal-company",,,,"https://www.oyez.org/cases/1900-1940/298us238","https://en.wikipedia.org/wiki/Carter_v._Carter_Coal_Co.",,,"Charles Hughes,Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler,Owen Roberts","70,62,63,66,71,74","Louis Brandeis,Harlan Stone,Benjamin Cardozo",
161,N,,,,,United States,Curtiss-Wright Export Corp.,,petitioner,October Term 1936,98,,1936-038,299 U.S. 304,32,,,George Sutherland,7,1,1936-11-19,1936-12-21,Miscellaneous,,"Article I, Section 1 (delegation of powers)",executive authority vis-a-vis congress or the states,,,,,,,,,,,,,"Charles Hughes,Willis Van Devanter,Louis Brandeis,George Sutherland,Pierce Butler,Owen Roberts,Benjamin Cardozo",,James McReynolds,Harlan Stone
162,,,,,,De Jonge,Oregon,,respondent,October Term 1936,123,,1936-060,299 U.S. 353,33,,,Charles Hughes,8,0,1936-12-09,1937-01-04,First Amendment,State Law Restricting Speech and Assembly,"Smith, Subversive Activities Control, Communist Control, or other similar federal legislation (also see 346)","federal or state internal security legislation: Smith, Internal Security, and related federal statutes",,,,,"https://lonedissent.org/briefs/featured/de-jonge-v-oregon",,,,"https://www.oyez.org/cases/1900-1940/299us353","https://en.wikipedia.org/wiki/De_Jonge_v._Oregon",,,"Charles Hughes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Owen Roberts,Benjamin Cardozo","62,63,66,67,70,71,74,75",,Harlan Stone
163,041,41,2,14S1C3,,West Coast Hotel,Parrish,,respondent,October Term 1936,293,,1936-050,300 U.S. 379,33,329,18,Charles Hughes,5,4,"1936-12-16,1936-12-17",1937-03-29,Civil Rights,Minimum Wages for Women Act,State Police Power,sex discrimination in employment (cf. sex discrimination),Adkins v. Children's Hospital (1923),,"""What can be closer to the public interest than the health of women and their protection from unscrupulous and overreaching employers?""",Chief Justice Charles Hughes,"https://briefs1.lonedissent.org/1936/west-coast-hotel-co-v-parrish",,,,"https://www.oyez.org/cases/1900-1940/300us379","https://en.wikipedia.org/wiki/West_Coast_Hotel_Co._v._Parrish","https://conlaw.us/case/west-coast-hotel-v-parrish-1937/",,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Benjamin Cardozo","62,67,73,74,75","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
164,,,,,,NLRB,Jones & Laughlin Steel Corp.,,petitioner,October Term 1936,419,,1936-053,301 U.S. 1,33,,19,Charles Hughes,9,0,"1937-02-09,1937-02-10,1937-02-11",1937-04-12,Unions,,"Article I, Section 8, Paragraph 3 (interstate commerce clause)","labor-management disputes: employee discharge",,,,,,,"https://lonedissent.org/transcripts/pre-1955/nlrb-v-jones-amp-laughlin-steel-corp",,"https://www.oyez.org/cases/1900-1940/301us1","https://en.wikipedia.org/wiki/NLRB_v._Jones_%26_Laughlin_Steel_Corp.","https://conlaw.us/case/nlrb-v-jones-laughlin-steel-corp-1937/",,"Charles Hughes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Harlan Stone,Owen Roberts,Benjamin Cardozo","62,63,66,67,70,71,73,74,75",,
165,,,,,,United States,Belmont,,petitioner,October Term 1936,532,,1936-118,301 U.S. 324,33,,,George Sutherland,9,0,1937-03-04,1937-05-03,Miscellaneous,,No Legal Provision,executive authority vis-a-vis congress or the states,,,,,"https://lonedissent.org/briefs/featured/united-states-v-belmont",,,,"https://www.oyez.org/cases/1900-1940/301us324","https://en.wikipedia.org/wiki/United_States_v._Belmont",,,"Charles Hughes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Harlan Stone,Owen Roberts,Benjamin Cardozo","70,62,63,66,67,71,73,74,75",,
166,,,,,,Steward Machine Co.,Davis,,respondent,October Term 1936,837,,1936-102,301 U.S. 548,34,,,Benjamin Cardozo,5,4,1937-04-08,1937-05-24,Federal Taxation,,Infrequently litigated statutes,"federal taxation of gifts, personal, business, or professional expenses",,,,,"https://lonedissent.org/briefs/featured/steward-machine-company-v-davis",,,,"https://www.oyez.org/cases/1900-1940/301us548","https://en.wikipedia.org/wiki/Steward_Machine_Co._v._Davis",,,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Benjamin Cardozo","75,62,67,73,74","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
